Date,Andaman and Nicobar Islands,Andhra Pradesh,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,J and K,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,NorthEast,Odisha,Puducherry,Punjab,Rajasthan,Tamil Nadu,Telengana,Uttar Pradesh,Uttarakhand,West Bengal,India
2020-01-30,1.0,1.0,2.0,1.0,1.0,3.0,2.0,14.0,2.0,20.0,1.0,1.0,1,4.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,1.0,1.0,73.0
2020-01-31,1.0,1.0,2.0,1.0,1.0,3.0,7.0,14.0,2.0,20.0,1.0,4.0,1,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,86.0
2020-02-01,6.0,1.0,3.0,1.0,1.0,3.0,18.0,14.0,2.0,20.0,2.0,4.0,2,6.0,10.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,127.0
2020-02-02,9.0,1.0,4.0,1.0,2.0,3.0,29.0,14.0,3.0,20.0,2.0,4.0,3,7.0,11.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,157.0
2020-02-03,9.0,1.0,6.0,1.0,3.0,5.0,33.0,14.0,3.0,23.0,2.0,5.0,3,14.0,11.0,27.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,178.0
2020-02-04,10.0,1.0,6.0,1.0,3.0,5.0,38.0,14.0,3.0,31.0,2.0,6.0,3,20.0,14.0,27.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,7.0,206.0
2020-02-05,10.0,1.0,9.0,1.0,3.0,5.0,43.0,14.0,3.0,31.0,2.0,6.0,3,20.0,32.0,27.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0,9.0,236.0
2020-02-06,10.0,2.0,9.0,6.0,4.0,5.0,43.0,14.0,3.0,39.0,2.0,6.0,3,30.0,32.0,27.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,3.0,9.0,263.0
2020-02-07,10.0,2.0,11.0,6.0,4.0,6.0,45.0,14.0,3.0,50.0,2.0,11.0,3,30.0,39.0,27.0,2.0,1.0,1.0,3.0,1.0,1.0,11.0,3.0,10.0,296.0
2020-02-08,10.0,3.0,15.0,6.0,5.0,6.0,53.0,14.0,3.0,51.0,2.0,11.0,3,33.0,42.0,27.0,2.0,1.0,1.0,3.0,1.0,1.0,11.0,4.0,10.0,318.0
2020-02-09,10.0,5.0,23.0,6.0,6.0,7.0,58.0,14.0,3.0,77.0,2.0,14.0,3,47.0,47.0,28.0,2.0,1.0,2.0,3.0,1.0,1.0,12.0,4.0,15.0,391.0
2020-02-10,10.0,7.0,23.0,7.0,6.0,7.0,73.0,14.0,3.0,87.0,2.0,15.0,3,66.0,47.0,28.0,2.0,1.0,2.0,3.0,1.0,1.0,13.0,5.0,18.0,444.0
2020-02-11,10.0,8.0,24.0,8.0,7.0,7.0,82.0,14.0,3.0,87.0,2.0,15.0,3,99.0,63.0,28.0,3.0,1.0,13.0,4.0,2.0,1.0,13.0,5.0,19.0,521.0
2020-02-12,10.0,9.0,29.0,9.0,7.0,7.0,82.0,15.0,6.0,98.0,2.0,26.0,3,99.0,67.0,28.0,3.0,1.0,21.0,4.0,3.0,3.0,15.0,5.0,26.0,578.0
2020-02-13,10.0,11.0,30.0,9.0,7.0,7.0,87.0,17.0,6.0,103.0,2.0,33.0,3,104.0,74.0,28.0,3.0,3.0,21.0,4.0,3.0,3.0,16.0,6.0,53.0,643.0
2020-02-14,10.0,12.0,30.0,9.0,8.0,7.0,95.0,17.0,6.0,120.0,2.0,37.0,3,104.0,89.0,28.0,3.0,3.0,29.0,4.0,7.0,5.0,19.0,7.0,69.0,723.0
2020-02-15,10.0,14.0,30.0,9.0,10.0,7.0,105.0,17.0,6.0,120.0,2.0,41.0,3,104.0,128.0,28.0,4.0,3.0,29.0,7.0,9.0,6.0,19.0,7.0,69.0,787.0
2020-02-16,10.0,14.0,30.0,9.0,12.0,7.0,105.0,17.0,6.0,120.0,2.0,55.0,3,104.0,124.0,28.0,4.0,5.0,33.0,7.0,15.0,6.0,24.0,7.0,69.0,816.0
2020-02-17,10.0,19.0,30.0,9.0,17.0,7.0,105.0,21.0,6.0,120.0,2.0,55.0,3,104.0,130.0,28.0,5.0,5.0,33.0,17.0,18.0,16.0,27.0,7.0,69.0,863.0
