Date,Andaman and Nicobar Islands,Andhra Pradesh,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,J and K,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,NorthEast,Odisha,Punjab,Rajasthan,Tamil Nadu,Telengana,Uttar Pradesh,Uttarakhand,West Bengal,India
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3.0
2020-03-03,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,5.0
2020-03-05,0,0,0,0,2,0,0,14,0,0,0,0,3,0,0,0,0,0,1,0,1,7,0,0,28.0
2020-03-07,0,0,0,0,3,0,0,14,0,2,0,0,3,0,0,0,0,0,1,1,1,7,0,0,32.0
2020-03-09,0,0,0,0,4,0,0,14,0,3,0,1,9,0,2,0,0,1,1,1,1,7,0,0,44.0
2020-03-11,0,0,0,0,5,0,0,14,0,3,0,4,17,0,10,0,0,1,3,1,1,9,0,0,68.0
2020-03-13,0,1,0,0,6,0,0,14,0,4,0,5,17,0,11,0,0,1,3,1,1,11,0,0,75.0
2020-03-15,0,1,0,0,7,0,0,14,0,5,0,6,23,0,32,0,0,1,4,1,3,13,1,0,111.0
2020-03-17,0,1,0,0,8,0,0,15,0,9,0,11,26,0,39,0,1,1,4,1,5,15,1,0,137.0
2020-03-19,0,2,0,1,12,0,0,17,0,12,0,14,27,0,47,0,1,2,7,2,6,19,1,1,171.0
2020-03-21,0,3,0,1,26,0,7,17,2,17,0,15,40,4,63,0,2,13,17,3,21,24,3,3,281.0
2020-03-23,0,7,2,1,29,0,29,26,2,17,0,33,67,6,74,0,2,21,28,9,32,31,3,7,426.0
2020-03-25,0,9,4,1,31,0,38,28,3,20,0,41,109,14,128,2,2,29,36,18,35,37,4,9,598.0
2020-03-27,1,12,6,6,36,3,43,30,3,26,0,55,137,20,130,2,2,33,41,29,45,41,5,10,716.0
2020-03-29,9,14,9,6,39,3,53,33,3,44,0,76,182,30,186,2,3,38,54,42,66,55,6,18,971.0
2020-03-31,10,40,15,8,97,5,73,40,3,67,0,83,234,47,216,2,3,41,74,74,79,101,7,26,1345.0
2020-04-02,10,86,23,9,152,5,82,43,3,75,1,110,265,99,335,3,4,46,108,234,96,113,7,0,1909.0
2020-04-04,10,161,29,9,386,6,95,49,6,89,2,128,295,104,423,28,5,53,179,411,158,174,16,69,2885.0
2020-04-06,10,226,30,9,503,7,122,84,13,120,3,151,314,165,690,30,21,68,253,571,321,227,26,80,4044.0
2020-04-08,10,305,38,10,576,7,165,147,18,130,4,175,336,229,1018,32,42,91,328,690,364,326,31,99,5171.0
2020-04-10,11,348,39,10,720,7,241,169,18,173,13,181,357,259,1364,34,44,101,463,834,442,410,35,116,6389.0
2020-04-12,11,381,63,18,1069,7,432,177,32,222,17,214,364,532,1761,35,50,151,700,969,504,452,35,134,8330.0
2020-04-14,11,473,66,31,1510,7,617,199,32,285,24,258,379,730,2337,28,55,176,879,1173,624,657,35,190,10776.0
2020-04-16,11,525,70,33,1578,7,766,205,35,317,28,279,388,987,2916,46,60,186,1023,1242,647,735,37,231,12352.0
2020-04-18,12,572,83,36,1707,7,1099,225,36,346,33,359,396,1310,3323,50,60,202,1229,1323,766,849,40,287,14350.0
