Date,Name of State / UT,Total Confirmed cases,Death
2020-03-26,Andaman and Nicobar Islands,1,0
2020-03-27,Andaman and Nicobar Islands,1,0
2020-03-28,Andaman and Nicobar Islands,6,0
2020-03-29,Andaman and Nicobar Islands,9,0
2020-03-30,Andaman and Nicobar Islands,9,0
2020-03-31,Andaman and Nicobar Islands,10,0
2020-04-01,Andaman and Nicobar Islands,10,0
2020-04-02,Andaman and Nicobar Islands,10,0
2020-04-03,Andaman and Nicobar Islands,10,0
2020-04-04,Andaman and Nicobar Islands,10,0
2020-04-05,Andaman and Nicobar Islands,10,0
2020-04-06,Andaman and Nicobar Islands,10,0
2020-04-07,Andaman and Nicobar Islands,10,0
2020-04-08,Andaman and Nicobar Islands,10,0
2020-04-09,Andaman and Nicobar Islands,11,0
2020-04-10,Andaman and Nicobar Islands,11,0
2020-04-11,Andaman and Nicobar Islands,11,0
2020-04-12,Andaman and Nicobar Islands,11,0
2020-04-13,Andaman and Nicobar Islands,11,0
2020-04-14,Andaman and Nicobar Islands,11,0
2020-04-15,Andaman and Nicobar Islands,11,0
2020-04-16,Andaman and Nicobar Islands,11,0
2020-04-17,Andaman and Nicobar Islands,11,0
2020-04-18,Andaman and Nicobar Islands,12,0
2020-04-19,Andaman and Nicobar Islands,14,0
2020-04-20,Andaman and Nicobar Islands,15,0
2020-04-21,Andaman and Nicobar Islands,16,0
2020-04-22,Andaman and Nicobar Islands,16,0
2020-04-23,Andaman and Nicobar Islands,18,0
2020-04-24,Andaman and Nicobar Islands,22,0
2020-04-25,Andaman and Nicobar Islands,27,0
2020-04-26,Andaman and Nicobar Islands,33,0
2020-04-27,Andaman and Nicobar Islands,33,0
2020-04-28,Andaman and Nicobar Islands,33,0
2020-04-29,Andaman and Nicobar Islands,33,0
2020-04-30,Andaman and Nicobar Islands,33,0
2020-05-01,Andaman and Nicobar Islands,33,0
2020-05-02,Andaman and Nicobar Islands,33,0
2020-05-03,Andaman and Nicobar Islands,33,0
2020-05-04,Andaman and Nicobar Islands,33,0
2020-05-05,Andaman and Nicobar Islands,33,0
2020-05-06,Andaman and Nicobar Islands,33,0
2020-05-07,Andaman and Nicobar Islands,33,0
2020-05-08,Andaman and Nicobar Islands,33,0
2020-05-09,Andaman and Nicobar Islands,33,0
2020-05-10,Andaman and Nicobar Islands,33,0
2020-05-11,Andaman and Nicobar Islands,33,0
2020-05-12,Andaman and Nicobar Islands,33,0
2020-05-13,Andaman and Nicobar Islands,33,0
2020-05-14,Andaman and Nicobar Islands,33,0
2020-05-15,Andaman and Nicobar Islands,33,0
2020-05-16,Andaman and Nicobar Islands,33,0
2020-05-17,Andaman and Nicobar Islands,33,0
2020-05-18,Andaman and Nicobar Islands,33,0
2020-05-19,Andaman and Nicobar Islands,33,0
2020-05-20,Andaman and Nicobar Islands,33,0
2020-05-21,Andaman and Nicobar Islands,33,0
2020-05-22,Andaman and Nicobar Islands,33,0
2020-05-23,Andaman and Nicobar Islands,33,0
2020-05-24,Andaman and Nicobar Islands,33,0
2020-05-25,Andaman and Nicobar Islands,33,0
2020-05-26,Andaman and Nicobar Islands,33,0
2020-05-27,Andaman and Nicobar Islands,33,0
2020-05-28,Andaman and Nicobar Islands,33,0
2020-05-29,Andaman and Nicobar Islands,33,0
2020-05-30,Andaman and Nicobar Islands,33,0
2020-05-31,Andaman and Nicobar Islands,33,0
2020-06-01,Andaman and Nicobar Islands,33,0
2020-06-02,Andaman and Nicobar Islands,33,0
2020-06-03,Andaman and Nicobar Islands,33,0
2020-06-04,Andaman and Nicobar Islands,33,0
2020-06-05,Andaman and Nicobar Islands,33,0
