Date,Name of State / UT,Total Confirmed cases,Death
2020-03-12,Andhra Pradesh,1,0
2020-03-13,Andhra Pradesh,1,0
2020-03-14,Andhra Pradesh,1,0
2020-03-15,Andhra Pradesh,1,0
2020-03-16,Andhra Pradesh,1,0
2020-03-17,Andhra Pradesh,1,0
2020-03-18,Andhra Pradesh,1,0
2020-03-19,Andhra Pradesh,2,0
2020-03-20,Andhra Pradesh,2,0
2020-03-21,Andhra Pradesh,3,0
2020-03-22,Andhra Pradesh,5,0
2020-03-23,Andhra Pradesh,7,0
2020-03-24,Andhra Pradesh,8,0
2020-03-25,Andhra Pradesh,9,0
2020-03-26,Andhra Pradesh,11,0
2020-03-27,Andhra Pradesh,12,0
2020-03-28,Andhra Pradesh,14,0
2020-03-29,Andhra Pradesh,14,0
2020-03-30,Andhra Pradesh,19,0
2020-03-31,Andhra Pradesh,40,0
2020-04-01,Andhra Pradesh,83,0
2020-04-02,Andhra Pradesh,86,1
2020-04-03,Andhra Pradesh,132,1
2020-04-04,Andhra Pradesh,161,1
2020-04-05,Andhra Pradesh,161,1
2020-04-06,Andhra Pradesh,226,3
2020-04-07,Andhra Pradesh,266,3
2020-04-08,Andhra Pradesh,305,4
2020-04-09,Andhra Pradesh,348,4
2020-04-10,Andhra Pradesh,348,4
2020-04-11,Andhra Pradesh,363,6
2020-04-12,Andhra Pradesh,381,6
2020-04-13,Andhra Pradesh,427,7
2020-04-14,Andhra Pradesh,473,9
2020-04-15,Andhra Pradesh,483,9
2020-04-16,Andhra Pradesh,525,14
2020-04-17,Andhra Pradesh,572,14
2020-04-18,Andhra Pradesh,572,14
2020-04-19,Andhra Pradesh,603,15
2020-04-20,Andhra Pradesh,646,15
2020-04-21,Andhra Pradesh,722,20
2020-04-22,Andhra Pradesh,757,22
2020-04-23,Andhra Pradesh,813,24
2020-04-24,Andhra Pradesh,895,27
2020-04-25,Andhra Pradesh,955,29
2020-04-26,Andhra Pradesh,1061,31
2020-04-27,Andhra Pradesh,1097,31
2020-04-28,Andhra Pradesh,1183,31
2020-04-29,Andhra Pradesh,1259,31
2020-04-30,Andhra Pradesh,1332,31
2020-05-01,Andhra Pradesh,1403,31
2020-05-02,Andhra Pradesh,1463,33
2020-05-03,Andhra Pradesh,1525,33
2020-05-04,Andhra Pradesh,1583,33
2020-05-05,Andhra Pradesh,1650,36
2020-05-06,Andhra Pradesh,1717,36
2020-05-07,Andhra Pradesh,1777,36
2020-05-08,Andhra Pradesh,1847,38
2020-05-09,Andhra Pradesh,1887,41
2020-05-10,Andhra Pradesh,1930,44
2020-05-11,Andhra Pradesh,1980,45
2020-05-12,Andhra Pradesh,2018,45
2020-05-13,Andhra Pradesh,2090,46
2020-05-14,Andhra Pradesh,2137,47
2020-05-15,Andhra Pradesh,2205,48
2020-05-16,Andhra Pradesh,2307,48
2020-05-17,Andhra Pradesh,2355,49
2020-05-18,Andhra Pradesh,2407,50
2020-05-19,Andhra Pradesh,2474,50
2020-05-20,Andhra Pradesh,2532,52
2020-05-21,Andhra Pradesh,2602,53
2020-05-22,Andhra Pradesh,2647,53
2020-05-23,Andhra Pradesh,2709,55
2020-05-24,Andhra Pradesh,2757,56
2020-05-25,Andhra Pradesh,2823,56
2020-05-26,Andhra Pradesh,3110,56
2020-05-27,Andhra Pradesh,3171,57
2020-05-28,Andhra Pradesh,3171,58
2020-05-29,Andhra Pradesh,3251,59
2020-05-30,Andhra Pradesh,3436,60
2020-05-31,Andhra Pradesh,3569,60
2020-06-01,Andhra Pradesh,3679,62
2020-06-02,Andhra Pradesh,3783,64
2020-06-03,Andhra Pradesh,3898,64
2020-06-04,Andhra Pradesh,4080,68
2020-06-05,Andhra Pradesh,4223,71
