Date,Name of State / UT,Total Confirmed cases,Death
2020-04-03,Arunachal Pradesh,1,0
2020-04-04,Arunachal Pradesh,1,0
2020-04-05,Arunachal Pradesh,1,0
2020-04-06,Arunachal Pradesh,1,0
2020-04-07,Arunachal Pradesh,1,0
2020-04-08,Arunachal Pradesh,1,0
2020-04-09,Arunachal Pradesh,1,0
2020-04-10,Arunachal Pradesh,1,0
2020-04-11,Arunachal Pradesh,1,0
2020-04-12,Arunachal Pradesh,1,0
2020-04-13,Arunachal Pradesh,1,0
2020-04-14,Arunachal Pradesh,1,0
2020-04-15,Arunachal Pradesh,1,0
2020-04-16,Arunachal Pradesh,1,0
2020-04-17,Arunachal Pradesh,1,0
2020-04-18,Arunachal Pradesh,1,0
2020-04-19,Arunachal Pradesh,1,0
2020-04-20,Arunachal Pradesh,1,0
2020-04-21,Arunachal Pradesh,1,0
2020-04-22,Arunachal Pradesh,1,0
2020-04-23,Arunachal Pradesh,1,0
2020-04-24,Arunachal Pradesh,1,0
2020-04-25,Arunachal Pradesh,1,0
2020-04-26,Arunachal Pradesh,1,0
2020-04-27,Arunachal Pradesh,1,0
2020-04-28,Arunachal Pradesh,1,0
2020-04-29,Arunachal Pradesh,1,0
2020-04-30,Arunachal Pradesh,1,0
2020-05-01,Arunachal Pradesh,1,0
2020-05-02,Arunachal Pradesh,1,0
2020-05-03,Arunachal Pradesh,1,0
2020-05-04,Arunachal Pradesh,1,0
2020-05-05,Arunachal Pradesh,1,0
2020-05-06,Arunachal Pradesh,1,0
2020-05-07,Arunachal Pradesh,1,0
2020-05-08,Arunachal Pradesh,1,0
2020-05-09,Arunachal Pradesh,1,0
2020-05-10,Arunachal Pradesh,1,0
2020-05-11,Arunachal Pradesh,1,0
2020-05-12,Arunachal Pradesh,1,0
2020-05-13,Arunachal Pradesh,1,0
2020-05-14,Arunachal Pradesh,1,0
2020-05-15,Arunachal Pradesh,1,0
2020-05-16,Arunachal Pradesh,1,0
2020-05-17,Arunachal Pradesh,1,0
2020-05-18,Arunachal Pradesh,1,0
2020-05-19,Arunachal Pradesh,1,0
2020-05-20,Arunachal Pradesh,1,0
2020-05-21,Arunachal Pradesh,1,0
2020-05-22,Arunachal Pradesh,1,0
2020-05-23,Arunachal Pradesh,1,0
2020-05-24,Arunachal Pradesh,1,0
2020-05-25,Arunachal Pradesh,1,0
2020-05-26,Arunachal Pradesh,2,0
2020-05-27,Arunachal Pradesh,2,0
2020-05-28,Arunachal Pradesh,2,0
2020-05-29,Arunachal Pradesh,3,0
2020-05-30,Arunachal Pradesh,3,0
2020-05-31,Arunachal Pradesh,4,0
2020-06-01,Arunachal Pradesh,4,0
2020-06-02,Arunachal Pradesh,22,0
2020-06-03,Arunachal Pradesh,22,0
2020-06-04,Arunachal Pradesh,38,0
2020-06-05,Arunachal Pradesh,42,0
