Date,Name of State / UT,Total Confirmed cases,Death
2020-04-01,Assam,1,0
2020-04-02,Assam,1,0
2020-04-03,Assam,16,0
2020-04-04,Assam,24,0
2020-04-05,Assam,24,0
2020-04-06,Assam,26,0
2020-04-07,Assam,26,0
2020-04-08,Assam,27,0
2020-04-09,Assam,28,0
2020-04-10,Assam,29,0
2020-04-11,Assam,29,1
2020-04-12,Assam,29,1
2020-04-13,Assam,29,1
2020-04-14,Assam,21,1
2020-04-15,Assam,32,1
2020-04-16,Assam,33,1
2020-04-17,Assam,35,1
2020-04-18,Assam,35,1
2020-04-19,Assam,35,1
2020-04-20,Assam,35,1
2020-04-21,Assam,35,1
2020-04-22,Assam,35,1
2020-04-23,Assam,35,1
2020-04-24,Assam,36,1
2020-04-25,Assam,36,1
2020-04-26,Assam,36,1
2020-04-27,Assam,36,1
2020-04-28,Assam,36,1
2020-04-29,Assam,38,1
2020-04-30,Assam,38,1
2020-05-01,Assam,42,1
2020-05-02,Assam,43,1
2020-05-03,Assam,43,1
2020-05-04,Assam,43,1
2020-05-05,Assam,43,1
2020-05-06,Assam,43,1
2020-05-07,Assam,45,1
2020-05-08,Assam,54,1
2020-05-09,Assam,59,1
2020-05-10,Assam,63,2
2020-05-11,Assam,63,2
2020-05-12,Assam,65,2
2020-05-13,Assam,65,2
2020-05-14,Assam,80,2
2020-05-15,Assam,87,2
2020-05-16,Assam,90,2
2020-05-17,Assam,92,2
2020-05-18,Assam,101,2
2020-05-19,Assam,107,2
2020-05-20,Assam,142,4
2020-05-21,Assam,170,4
2020-05-22,Assam,203,4
2020-05-23,Assam,259,4
2020-05-24,Assam,329,4
2020-05-25,Assam,378,4
2020-05-26,Assam,526,4
2020-05-27,Assam,616,4
2020-05-28,Assam,781,4
2020-05-29,Assam,856,4
2020-05-30,Assam,1024,4
2020-05-31,Assam,1185,4
2020-06-01,Assam,1272,4
2020-06-02,Assam,1390,4
2020-06-03,Assam,1513,4
2020-06-04,Assam,1672,4
2020-06-05,Assam,1988,4
