Date,Name of State / UT,Total Confirmed cases,Death
2020-03-22,Bihar,2,1
2020-03-23,Bihar,2,1
2020-03-24,Bihar,3,1
2020-03-25,Bihar,4,1
2020-03-26,Bihar,6,1
2020-03-27,Bihar,6,1
2020-03-28,Bihar,9,1
2020-03-29,Bihar,9,1
2020-03-30,Bihar,11,1
2020-03-31,Bihar,15,1
2020-04-01,Bihar,23,1
2020-04-02,Bihar,23,1
2020-04-03,Bihar,24,1
2020-04-04,Bihar,29,1
2020-04-05,Bihar,30,1
2020-04-06,Bihar,30,1
2020-04-07,Bihar,32,1
2020-04-08,Bihar,38,1
2020-04-09,Bihar,38,1
2020-04-10,Bihar,39,1
2020-04-11,Bihar,60,1
2020-04-12,Bihar,63,1
2020-04-13,Bihar,64,1
2020-04-14,Bihar,66,1
2020-04-15,Bihar,66,1
2020-04-16,Bihar,70,1
2020-04-17,Bihar,83,1
2020-04-18,Bihar,83,2
2020-04-19,Bihar,86,2
2020-04-20,Bihar,93,2
2020-04-21,Bihar,113,2
2020-04-22,Bihar,126,2
2020-04-23,Bihar,143,2
2020-04-24,Bihar,153,2
2020-04-25,Bihar,223,2
2020-04-26,Bihar,243,2
2020-04-27,Bihar,274,2
2020-04-28,Bihar,345,2
2020-04-29,Bihar,366,2
2020-04-30,Bihar,392,2
2020-05-01,Bihar,418,2
2020-05-02,Bihar,471,3
2020-05-03,Bihar,481,4
2020-05-04,Bihar,503,4
2020-05-05,Bihar,528,4
2020-05-06,Bihar,536,4
2020-05-07,Bihar,542,4
2020-05-08,Bihar,550,5
2020-05-09,Bihar,571,5
2020-05-10,Bihar,591,5
2020-05-11,Bihar,696,6
2020-05-12,Bihar,747,6
2020-05-13,Bihar,831,6
2020-05-14,Bihar,940,7
2020-05-15,Bihar,994,7
2020-05-16,Bihar,1018,7
2020-05-17,Bihar,1179,7
2020-05-18,Bihar,1262,8
2020-05-19,Bihar,1391,9
2020-05-20,Bihar,1498,9
2020-05-21,Bihar,1674,10
2020-05-22,Bihar,1982,11
2020-05-23,Bihar,2177,11
2020-05-24,Bihar,2380,11
2020-05-25,Bihar,2587,13
2020-05-26,Bihar,2730,13
2020-05-27,Bihar,2983,13
2020-05-28,Bihar,3061,15
2020-05-29,Bihar,3296,15
2020-05-30,Bihar,3376,15
2020-05-31,Bihar,3636,20
2020-06-01,Bihar,3815,21
2020-06-02,Bihar,3926,24
2020-06-03,Bihar,4155,24
2020-06-04,Bihar,4390,25
2020-06-05,Bihar,4493,29
