Date,Name of State / UT,Total Confirmed cases,Death
2020-03-19,Chhattisgarh,1,0
2020-03-20,Chhattisgarh,1,0
2020-03-21,Chhattisgarh,1,0
2020-03-22,Chhattisgarh,1,0
2020-03-23,Chhattisgarh,1,0
2020-03-24,Chhattisgarh,1,0
2020-03-25,Chhattisgarh,1,0
2020-03-26,Chhattisgarh,6,0
2020-03-27,Chhattisgarh,6,0
2020-03-28,Chhattisgarh,6,0
2020-03-29,Chhattisgarh,6,0
2020-03-30,Chhattisgarh,7,0
2020-03-31,Chhattisgarh,8,0
2020-04-01,Chhattisgarh,9,0
2020-04-02,Chhattisgarh,9,0
2020-04-03,Chhattisgarh,9,0
2020-04-04,Chhattisgarh,9,0
2020-04-05,Chhattisgarh,9,0
2020-04-06,Chhattisgarh,9,0
2020-04-07,Chhattisgarh,10,0
2020-04-08,Chhattisgarh,10,0
2020-04-09,Chhattisgarh,10,0
2020-04-10,Chhattisgarh,10,0
2020-04-11,Chhattisgarh,18,0
2020-04-12,Chhattisgarh,18,0
2020-04-13,Chhattisgarh,31,0
2020-04-14,Chhattisgarh,31,0
2020-04-15,Chhattisgarh,33,0
2020-04-16,Chhattisgarh,33,0
2020-04-17,Chhattisgarh,36,0
2020-04-18,Chhattisgarh,36,0
2020-04-19,Chhattisgarh,36,0
2020-04-20,Chhattisgarh,36,0
2020-04-21,Chhattisgarh,36,0
2020-04-22,Chhattisgarh,36,0
2020-04-23,Chhattisgarh,36,0
2020-04-24,Chhattisgarh,36,0
2020-04-25,Chhattisgarh,36,0
2020-04-26,Chhattisgarh,37,0
2020-04-27,Chhattisgarh,37,0
2020-04-28,Chhattisgarh,37,0
2020-04-29,Chhattisgarh,38,0
2020-04-30,Chhattisgarh,38,0
2020-05-01,Chhattisgarh,40,0
2020-05-02,Chhattisgarh,43,0
2020-05-03,Chhattisgarh,43,0
2020-05-04,Chhattisgarh,57,0
2020-05-05,Chhattisgarh,58,0
2020-05-06,Chhattisgarh,59,0
2020-05-07,Chhattisgarh,59,0
2020-05-08,Chhattisgarh,59,0
2020-05-09,Chhattisgarh,59,0
2020-05-10,Chhattisgarh,59,0
2020-05-11,Chhattisgarh,59,0
2020-05-12,Chhattisgarh,59,0
2020-05-13,Chhattisgarh,59,0
2020-05-14,Chhattisgarh,59,0
2020-05-15,Chhattisgarh,60,0
2020-05-16,Chhattisgarh,66,0
2020-05-17,Chhattisgarh,67,0
2020-05-18,Chhattisgarh,86,0
2020-05-19,Chhattisgarh,93,0
2020-05-20,Chhattisgarh,101,0
2020-05-21,Chhattisgarh,115,0
2020-05-22,Chhattisgarh,128,0
2020-05-23,Chhattisgarh,172,0
2020-05-24,Chhattisgarh,214,0
2020-05-25,Chhattisgarh,252,0
2020-05-26,Chhattisgarh,291,0
2020-05-27,Chhattisgarh,361,0
2020-05-28,Chhattisgarh,369,0
2020-05-29,Chhattisgarh,399,0
2020-05-30,Chhattisgarh,415,1
2020-05-31,Chhattisgarh,447,1
2020-06-01,Chhattisgarh,498,1
2020-06-02,Chhattisgarh,547,1
2020-06-03,Chhattisgarh,564,1
2020-06-04,Chhattisgarh,668,2
2020-06-05,Chhattisgarh,756,2
