Date,Name of State / UT,Total Confirmed cases,Death
2020-03-20,Gujarat,2,0
2020-03-21,Gujarat,7,0
2020-03-22,Gujarat,18,1
2020-03-23,Gujarat,29,1
2020-03-24,Gujarat,33,1
2020-03-25,Gujarat,38,1
2020-03-26,Gujarat,43,3
2020-03-27,Gujarat,43,3
2020-03-28,Gujarat,45,3
2020-03-29,Gujarat,53,4
2020-03-30,Gujarat,58,5
2020-03-31,Gujarat,73,6
2020-04-01,Gujarat,82,6
2020-04-02,Gujarat,82,6
2020-04-03,Gujarat,87,7
2020-04-04,Gujarat,95,9
2020-04-05,Gujarat,105,10
2020-04-06,Gujarat,122,11
2020-04-07,Gujarat,144,12
2020-04-08,Gujarat,165,13
2020-04-09,Gujarat,179,16
2020-04-10,Gujarat,241,17
2020-04-11,Gujarat,308,19
2020-04-12,Gujarat,432,22
2020-04-13,Gujarat,516,25
2020-04-14,Gujarat,617,26
2020-04-15,Gujarat,650,28
2020-04-16,Gujarat,766,33
2020-04-17,Gujarat,1021,38
2020-04-18,Gujarat,1099,41
2020-04-19,Gujarat,1376,53
2020-04-20,Gujarat,1743,63
2020-04-21,Gujarat,1939,71
2020-04-22,Gujarat,2178,90
2020-04-23,Gujarat,2407,103
2020-04-24,Gujarat,2624,112
2020-04-25,Gujarat,2815,127
2020-04-26,Gujarat,3071,133
2020-04-27,Gujarat,3301,151
2020-04-28,Gujarat,3548,162
2020-04-29,Gujarat,3744,181
2020-04-30,Gujarat,4082,197
2020-05-01,Gujarat,4395,214
2020-05-02,Gujarat,4721,236
2020-05-03,Gujarat,5054,262
2020-05-04,Gujarat,5428,290
2020-05-05,Gujarat,5804,319
2020-05-06,Gujarat,6245,368
2020-05-07,Gujarat,6625,396
2020-05-08,Gujarat,7012,425
2020-05-09,Gujarat,7402,449
2020-05-10,Gujarat,7796,472
2020-05-11,Gujarat,8194,493
2020-05-12,Gujarat,8541,513
2020-05-13,Gujarat,8903,537
2020-05-14,Gujarat,9267,566
2020-05-15,Gujarat,9591,586
2020-05-16,Gujarat,9931,606
2020-05-17,Gujarat,10988,625
2020-05-18,Gujarat,11379,659
2020-05-19,Gujarat,11745,694
2020-05-20,Gujarat,12140,719
2020-05-21,Gujarat,12537,749
2020-05-22,Gujarat,12905,773
2020-05-23,Gujarat,13268,802
2020-05-24,Gujarat,13664,829
2020-05-25,Gujarat,14056,858
2020-05-26,Gujarat,14460,888
2020-05-27,Gujarat,14821,915
2020-05-28,Gujarat,15195,938
2020-05-29,Gujarat,15562,960
2020-05-30,Gujarat,15934,980
2020-05-31,Gujarat,16343,1007
2020-06-01,Gujarat,16779,1038
2020-06-02,Gujarat,17200,1063
2020-06-03,Gujarat,17617,1092
2020-06-04,Gujarat,18100,1122
2020-06-05,Gujarat,18584,1155
