Date,Name of State / UT,Total Confirmed cases,Death
2020-03-21,Himachal Pradesh,2,0
2020-03-22,Himachal Pradesh,2,0
2020-03-23,Himachal Pradesh,2,0
2020-03-24,Himachal Pradesh,3,1
2020-03-25,Himachal Pradesh,3,1
2020-03-26,Himachal Pradesh,3,1
2020-03-27,Himachal Pradesh,3,1
2020-03-28,Himachal Pradesh,3,1
2020-03-29,Himachal Pradesh,3,1
2020-03-30,Himachal Pradesh,3,1
2020-03-31,Himachal Pradesh,3,1
2020-04-01,Himachal Pradesh,3,1
2020-04-02,Himachal Pradesh,3,1
2020-04-03,Himachal Pradesh,6,1
2020-04-04,Himachal Pradesh,6,1
2020-04-05,Himachal Pradesh,6,1
2020-04-06,Himachal Pradesh,13,1
2020-04-07,Himachal Pradesh,13,1
2020-04-08,Himachal Pradesh,18,1
2020-04-09,Himachal Pradesh,18,1
2020-04-10,Himachal Pradesh,18,1
2020-04-11,Himachal Pradesh,28,1
2020-04-12,Himachal Pradesh,32,1
2020-04-13,Himachal Pradesh,32,1
2020-04-14,Himachal Pradesh,32,1
2020-04-15,Himachal Pradesh,33,1
2020-04-16,Himachal Pradesh,35,1
2020-04-17,Himachal Pradesh,35,1
2020-04-18,Himachal Pradesh,36,1
2020-04-19,Himachal Pradesh,39,1
2020-04-20,Himachal Pradesh,39,1
2020-04-21,Himachal Pradesh,39,1
2020-04-22,Himachal Pradesh,39,1
2020-04-23,Himachal Pradesh,40,1
2020-04-24,Himachal Pradesh,40,1
2020-04-25,Himachal Pradesh,40,1
2020-04-26,Himachal Pradesh,40,1
2020-04-27,Himachal Pradesh,40,1
2020-04-28,Himachal Pradesh,40,1
2020-04-29,Himachal Pradesh,40,1
2020-04-30,Himachal Pradesh,40,1
2020-05-01,Himachal Pradesh,40,1
2020-05-02,Himachal Pradesh,40,1
2020-05-03,Himachal Pradesh,40,1
2020-05-04,Himachal Pradesh,40,1
2020-05-05,Himachal Pradesh,41,1
2020-05-06,Himachal Pradesh,42,2
2020-05-07,Himachal Pradesh,45,2
2020-05-08,Himachal Pradesh,46,2
2020-05-09,Himachal Pradesh,50,2
2020-05-10,Himachal Pradesh,50,2
2020-05-11,Himachal Pradesh,55,2
2020-05-12,Himachal Pradesh,59,2
2020-05-13,Himachal Pradesh,65,2
2020-05-14,Himachal Pradesh,66,2
2020-05-15,Himachal Pradesh,74,2
2020-05-16,Himachal Pradesh,76,3
2020-05-17,Himachal Pradesh,78,3
2020-05-18,Himachal Pradesh,80,3
2020-05-19,Himachal Pradesh,90,3
2020-05-20,Himachal Pradesh,92,3
2020-05-21,Himachal Pradesh,110,3
2020-05-22,Himachal Pradesh,152,3
2020-05-23,Himachal Pradesh,168,3
2020-05-24,Himachal Pradesh,185,3
2020-05-25,Himachal Pradesh,203,3
2020-05-26,Himachal Pradesh,223,5
2020-05-27,Himachal Pradesh,247,5
2020-05-28,Himachal Pradesh,273,5
2020-05-29,Himachal Pradesh,276,5
2020-05-30,Himachal Pradesh,295,5
2020-05-31,Himachal Pradesh,313,5
2020-06-01,Himachal Pradesh,331,5
2020-06-02,Himachal Pradesh,340,5
2020-06-03,Himachal Pradesh,345,5
2020-06-04,Himachal Pradesh,359,5
2020-06-05,Himachal Pradesh,383,5
