Date,Name of State / UT,Total Confirmed cases,Death
2020-04-01,Jharkhand,1,0
2020-04-02,Jharkhand,1,0
2020-04-03,Jharkhand,2,0
2020-04-04,Jharkhand,2,0
2020-04-05,Jharkhand,2,0
2020-04-06,Jharkhand,3,0
2020-04-07,Jharkhand,4,0
2020-04-08,Jharkhand,4,0
2020-04-09,Jharkhand,4,0
2020-04-10,Jharkhand,13,1
2020-04-11,Jharkhand,14,1
2020-04-12,Jharkhand,17,1
2020-04-13,Jharkhand,19,2
2020-04-14,Jharkhand,24,2
2020-04-15,Jharkhand,27,2
2020-04-16,Jharkhand,28,2
2020-04-17,Jharkhand,29,2
2020-04-18,Jharkhand,33,2
2020-04-19,Jharkhand,34,2
2020-04-20,Jharkhand,42,2
2020-04-21,Jharkhand,46,2
2020-04-22,Jharkhand,45,3
2020-04-23,Jharkhand,49,3
2020-04-24,Jharkhand,53,3
2020-04-25,Jharkhand,57,3
2020-04-26,Jharkhand,67,3
2020-04-27,Jharkhand,82,3
2020-04-28,Jharkhand,82,3
2020-04-29,Jharkhand,103,3
2020-04-30,Jharkhand,107,3
2020-05-01,Jharkhand,109,3
2020-05-02,Jharkhand,111,3
2020-05-03,Jharkhand,115,3
2020-05-04,Jharkhand,115,3
2020-05-05,Jharkhand,115,3
2020-05-06,Jharkhand,125,3
2020-05-07,Jharkhand,127,3
2020-05-08,Jharkhand,132,3
2020-05-09,Jharkhand,132,3
2020-05-10,Jharkhand,156,3
2020-05-11,Jharkhand,157,3
2020-05-12,Jharkhand,160,3
2020-05-13,Jharkhand,172,3
2020-05-14,Jharkhand,173,3
2020-05-15,Jharkhand,197,3
2020-05-16,Jharkhand,203,3
2020-05-17,Jharkhand,217,3
2020-05-18,Jharkhand,223,3
2020-05-19,Jharkhand,223,3
2020-05-20,Jharkhand,231,3
2020-05-21,Jharkhand,231,3
2020-05-22,Jharkhand,290,3
2020-05-23,Jharkhand,308,3
2020-05-24,Jharkhand,350,4
2020-05-25,Jharkhand,370,4
2020-05-26,Jharkhand,377,4
2020-05-27,Jharkhand,426,4
2020-05-28,Jharkhand,448,4
2020-05-29,Jharkhand,469,4
2020-05-30,Jharkhand,511,5
2020-05-31,Jharkhand,563,5
2020-06-01,Jharkhand,610,5
2020-06-02,Jharkhand,659,5
2020-06-03,Jharkhand,712,5
2020-06-04,Jharkhand,752,5
2020-06-05,Jharkhand,793,6
