Date,Name of State / UT,Total Confirmed cases,Death
2020-03-09,Karnataka,1,0
2020-03-10,Karnataka,4,0
2020-03-11,Karnataka,4,0
2020-03-12,Karnataka,4,1
2020-03-13,Karnataka,5,1
2020-03-14,Karnataka,6,1
2020-03-15,Karnataka,6,1
2020-03-16,Karnataka,6,1
2020-03-17,Karnataka,11,1
2020-03-18,Karnataka,11,1
2020-03-19,Karnataka,14,1
2020-03-20,Karnataka,15,1
2020-03-21,Karnataka,15,1
2020-03-22,Karnataka,26,1
2020-03-23,Karnataka,33,1
2020-03-24,Karnataka,37,1
2020-03-25,Karnataka,41,1
2020-03-26,Karnataka,55,2
2020-03-27,Karnataka,55,2
2020-03-28,Karnataka,55,2
2020-03-29,Karnataka,76,3
2020-03-30,Karnataka,80,3
2020-03-31,Karnataka,83,3
2020-04-01,Karnataka,101,3
2020-04-02,Karnataka,110,3
2020-04-03,Karnataka,124,3
2020-04-04,Karnataka,128,3
2020-04-05,Karnataka,144,4
2020-04-06,Karnataka,151,4
2020-04-07,Karnataka,151,4
2020-04-08,Karnataka,175,4
2020-04-09,Karnataka,181,5
2020-04-10,Karnataka,181,5
2020-04-11,Karnataka,207,6
2020-04-12,Karnataka,214,6
2020-04-13,Karnataka,232,6
2020-04-14,Karnataka,258,9
2020-04-15,Karnataka,260,10
2020-04-16,Karnataka,279,12
2020-04-17,Karnataka,353,13
2020-04-18,Karnataka,359,13
2020-04-19,Karnataka,384,14
2020-04-20,Karnataka,390,16
2020-04-21,Karnataka,408,16
2020-04-22,Karnataka,418,17
2020-04-23,Karnataka,427,17
2020-04-24,Karnataka,445,17
2020-04-25,Karnataka,474,18
2020-04-26,Karnataka,500,18
2020-04-27,Karnataka,503,19
2020-04-28,Karnataka,512,20
2020-04-29,Karnataka,523,20
2020-04-30,Karnataka,535,21
2020-05-01,Karnataka,565,21
2020-05-02,Karnataka,589,22
2020-05-03,Karnataka,601,25
2020-05-04,Karnataka,614,25
2020-05-05,Karnataka,651,27
2020-05-06,Karnataka,671,29
2020-05-07,Karnataka,693,29
2020-05-08,Karnataka,705,30
2020-05-09,Karnataka,753,30
2020-05-10,Karnataka,794,30
2020-05-11,Karnataka,848,31
2020-05-12,Karnataka,862,31
2020-05-13,Karnataka,925,31
2020-05-14,Karnataka,959,33
2020-05-15,Karnataka,987,35
2020-05-16,Karnataka,1056,36
2020-05-17,Karnataka,1092,36
2020-05-18,Karnataka,1147,37
2020-05-19,Karnataka,1246,37
2020-05-20,Karnataka,1397,40
2020-05-21,Karnataka,1462,41
2020-05-22,Karnataka,1605,41
2020-05-23,Karnataka,1743,41
2020-05-24,Karnataka,1959,42
2020-05-25,Karnataka,2089,42
2020-05-26,Karnataka,2182,44
2020-05-27,Karnataka,2283,44
2020-05-28,Karnataka,2418,47
2020-05-29,Karnataka,2533,47
2020-05-30,Karnataka,2781,48
2020-05-31,Karnataka,2922,48
2020-06-01,Karnataka,3221,51
2020-06-02,Karnataka,3408,52
2020-06-03,Karnataka,3796,52
2020-06-04,Karnataka,4063,53
2020-06-05,Karnataka,4320,57
