Date,Name of State / UT,Total Confirmed cases,Death
2020-03-21,Ladakh,13,0
2020-03-22,Ladakh,13,0
2020-03-23,Ladakh,13,0
2020-03-24,Ladakh,13,0
2020-03-25,Ladakh,13,0
2020-03-26,Ladakh,13,0
2020-03-27,Ladakh,13,0
2020-03-28,Ladakh,13,0
2020-03-29,Ladakh,13,0
2020-03-30,Ladakh,13,0
2020-03-31,Ladakh,13,0
2020-04-01,Ladakh,13,0
2020-04-02,Ladakh,13,0
2020-04-03,Ladakh,14,0
2020-04-04,Ladakh,14,0
2020-04-05,Ladakh,14,0
2020-04-06,Ladakh,14,0
2020-04-07,Ladakh,14,0
2020-04-08,Ladakh,14,0
2020-04-09,Ladakh,14,0
2020-04-10,Ladakh,15,0
2020-04-11,Ladakh,15,0
2020-04-12,Ladakh,15,0
2020-04-13,Ladakh,15,0
2020-04-14,Ladakh,15,0
2020-04-15,Ladakh,17,0
2020-04-16,Ladakh,17,0
2020-04-17,Ladakh,18,0
2020-04-18,Ladakh,18,0
2020-04-19,Ladakh,18,0
2020-04-20,Ladakh,18,0
2020-04-21,Ladakh,18,0
2020-04-22,Ladakh,18,0
2020-04-23,Ladakh,18,0
2020-04-24,Ladakh,18,0
2020-04-25,Ladakh,20,0
2020-04-26,Ladakh,20,0
2020-04-27,Ladakh,20,0
2020-04-28,Ladakh,20,0
2020-04-29,Ladakh,22,0
2020-04-30,Ladakh,22,0
2020-05-01,Ladakh,22,0
2020-05-02,Ladakh,22,0
2020-05-03,Ladakh,22,0
2020-05-04,Ladakh,41,0
2020-05-05,Ladakh,41,0
2020-05-06,Ladakh,41,0
2020-05-07,Ladakh,41,0
2020-05-08,Ladakh,42,0
2020-05-09,Ladakh,42,0
2020-05-10,Ladakh,42,0
2020-05-11,Ladakh,42,0
2020-05-12,Ladakh,42,0
2020-05-13,Ladakh,42,0
2020-05-14,Ladakh,43,0
2020-05-15,Ladakh,43,0
2020-05-16,Ladakh,43,0
2020-05-17,Ladakh,43,0
2020-05-18,Ladakh,43,0
2020-05-19,Ladakh,43,0
2020-05-20,Ladakh,43,0
2020-05-21,Ladakh,44,0
2020-05-22,Ladakh,44,0
2020-05-23,Ladakh,44,0
2020-05-24,Ladakh,49,0
2020-05-25,Ladakh,52,0
2020-05-26,Ladakh,52,0
2020-05-27,Ladakh,53,0
2020-05-28,Ladakh,53,0
2020-05-29,Ladakh,73,0
2020-05-30,Ladakh,74,0
2020-05-31,Ladakh,74,0
2020-06-01,Ladakh,74,0
2020-06-02,Ladakh,77,0
2020-06-03,Ladakh,81,1
2020-06-04,Ladakh,90,1
2020-06-05,Ladakh,90,1
