Date,Name of State / UT,Total Confirmed cases,Death
2020-03-21,Madhya Pradesh,4,0
2020-03-22,Madhya Pradesh,4,0
2020-03-23,Madhya Pradesh,6,0
2020-03-24,Madhya Pradesh,7,0
2020-03-25,Madhya Pradesh,14,0
2020-03-26,Madhya Pradesh,20,1
2020-03-27,Madhya Pradesh,20,1
2020-03-28,Madhya Pradesh,30,2
2020-03-29,Madhya Pradesh,30,2
2020-03-30,Madhya Pradesh,33,2
2020-03-31,Madhya Pradesh,47,3
2020-04-01,Madhya Pradesh,66,3
2020-04-02,Madhya Pradesh,99,6
2020-04-03,Madhya Pradesh,99,6
2020-04-04,Madhya Pradesh,104,6
2020-04-05,Madhya Pradesh,104,6
2020-04-06,Madhya Pradesh,165,9
2020-04-07,Madhya Pradesh,165,9
2020-04-08,Madhya Pradesh,229,13
2020-04-09,Madhya Pradesh,229,13
2020-04-10,Madhya Pradesh,259,16
2020-04-11,Madhya Pradesh,435,33
2020-04-12,Madhya Pradesh,532,36
2020-04-13,Madhya Pradesh,564,36
2020-04-14,Madhya Pradesh,730,50
2020-04-15,Madhya Pradesh,730,50
2020-04-16,Madhya Pradesh,987,53
2020-04-17,Madhya Pradesh,1308,57
2020-04-18,Madhya Pradesh,1310,69
2020-04-19,Madhya Pradesh,1407,70
2020-04-20,Madhya Pradesh,1407,70
2020-04-21,Madhya Pradesh,1485,74
2020-04-22,Madhya Pradesh,1552,76
2020-04-23,Madhya Pradesh,1592,80
2020-04-24,Madhya Pradesh,1699,83
2020-04-25,Madhya Pradesh,1852,92
2020-04-26,Madhya Pradesh,2096,99
2020-04-27,Madhya Pradesh,2096,103
2020-04-28,Madhya Pradesh,2168,110
2020-04-29,Madhya Pradesh,2387,120
2020-04-30,Madhya Pradesh,2561,129
2020-05-01,Madhya Pradesh,2660,137
2020-05-02,Madhya Pradesh,2719,145
2020-05-03,Madhya Pradesh,2846,151
2020-05-04,Madhya Pradesh,2846,156
2020-05-05,Madhya Pradesh,2942,165
2020-05-06,Madhya Pradesh,3049,176
2020-05-07,Madhya Pradesh,3138,185
2020-05-08,Madhya Pradesh,3252,193
2020-05-09,Madhya Pradesh,3341,200
2020-05-10,Madhya Pradesh,3614,215
2020-05-11,Madhya Pradesh,3614,215
2020-05-12,Madhya Pradesh,3785,221
2020-05-13,Madhya Pradesh,3986,225
2020-05-14,Madhya Pradesh,4173,232
2020-05-15,Madhya Pradesh,4426,237
2020-05-16,Madhya Pradesh,4595,239
2020-05-17,Madhya Pradesh,4789,243
2020-05-18,Madhya Pradesh,4977,248
2020-05-19,Madhya Pradesh,5236,252
2020-05-20,Madhya Pradesh,5465,258
2020-05-21,Madhya Pradesh,5735,267
2020-05-22,Madhya Pradesh,5981,270
2020-05-23,Madhya Pradesh,6170,272
2020-05-24,Madhya Pradesh,6371,281
2020-05-25,Madhya Pradesh,6665,290
2020-05-26,Madhya Pradesh,6859,300
2020-05-27,Madhya Pradesh,7024,305
2020-05-28,Madhya Pradesh,7261,313
2020-05-29,Madhya Pradesh,7453,321
2020-05-30,Madhya Pradesh,7645,334
2020-05-31,Madhya Pradesh,7891,343
2020-06-01,Madhya Pradesh,8089,350
2020-06-02,Madhya Pradesh,8283,358
2020-06-03,Madhya Pradesh,8420,364
2020-06-04,Madhya Pradesh,8588,371
2020-06-05,Madhya Pradesh,8762,377
