Date,Name of State / UT,Total Confirmed cases,Death
2020-03-09,Maharashtra,2,0
2020-03-10,Maharashtra,5,0
2020-03-11,Maharashtra,10,0
2020-03-12,Maharashtra,11,0
2020-03-13,Maharashtra,11,0
2020-03-14,Maharashtra,14,0
2020-03-15,Maharashtra,32,0
2020-03-16,Maharashtra,32,0
2020-03-17,Maharashtra,39,1
2020-03-18,Maharashtra,42,1
2020-03-19,Maharashtra,47,1
2020-03-20,Maharashtra,47,1
2020-03-21,Maharashtra,63,1
2020-03-22,Maharashtra,67,2
2020-03-23,Maharashtra,74,2
2020-03-24,Maharashtra,89,2
2020-03-25,Maharashtra,128,3
2020-03-26,Maharashtra,124,3
2020-03-27,Maharashtra,130,4
2020-03-28,Maharashtra,180,5
2020-03-29,Maharashtra,186,6
2020-03-30,Maharashtra,193,8
2020-03-31,Maharashtra,216,9
2020-04-01,Maharashtra,302,9
2020-04-02,Maharashtra,335,13
2020-04-03,Maharashtra,335,16
2020-04-04,Maharashtra,423,19
2020-04-05,Maharashtra,490,24
2020-04-06,Maharashtra,690,45
2020-04-07,Maharashtra,748,45
2020-04-08,Maharashtra,1018,64
2020-04-09,Maharashtra,1135,72
2020-04-10,Maharashtra,1364,97
2020-04-11,Maharashtra,1574,110
2020-04-12,Maharashtra,1761,127
2020-04-13,Maharashtra,1985,149
2020-04-14,Maharashtra,2337,160
2020-04-15,Maharashtra,2687,178
2020-04-16,Maharashtra,2916,187
2020-04-17,Maharashtra,3205,194
2020-04-18,Maharashtra,3323,201
2020-04-19,Maharashtra,3651,211
2020-04-20,Maharashtra,4203,223
2020-04-21,Maharashtra,4666,232
2020-04-22,Maharashtra,5218,251
2020-04-23,Maharashtra,5652,269
2020-04-24,Maharashtra,6430,283
2020-04-25,Maharashtra,6817,301
2020-04-26,Maharashtra,7628,323
2020-04-27,Maharashtra,8068,342
2020-04-28,Maharashtra,8590,369
2020-04-29,Maharashtra,9318,400
2020-04-30,Maharashtra,9915,432
2020-05-01,Maharashtra,10498,459
2020-05-02,Maharashtra,11506,485
2020-05-03,Maharashtra,12296,521
2020-05-04,Maharashtra,12974,548
2020-05-05,Maharashtra,14541,583
2020-05-06,Maharashtra,15525,617
2020-05-07,Maharashtra,16758,651
2020-05-08,Maharashtra,17974,694
2020-05-09,Maharashtra,19063,731
2020-05-10,Maharashtra,20228,779
2020-05-11,Maharashtra,22171,832
2020-05-12,Maharashtra,23401,868
2020-05-13,Maharashtra,24427,921
2020-05-14,Maharashtra,25922,975
2020-05-15,Maharashtra,27524,1019
2020-05-16,Maharashtra,29100,1068
2020-05-17,Maharashtra,30706,1135
2020-05-18,Maharashtra,33053,1198
2020-05-19,Maharashtra,35058,1249
2020-05-20,Maharashtra,37136,1325
2020-05-21,Maharashtra,39297,1390
2020-05-22,Maharashtra,41642,1454
2020-05-23,Maharashtra,44582,1517
2020-05-24,Maharashtra,47190,1577
2020-05-25,Maharashtra,50231,1635
2020-05-26,Maharashtra,52667,1695
2020-05-27,Maharashtra,54758,1792
2020-05-28,Maharashtra,56948,1897
2020-05-29,Maharashtra,59546,1982
2020-05-30,Maharashtra,62228,2098
2020-05-31,Maharashtra,65168,2197
2020-06-01,Maharashtra,67655,2286
2020-06-02,Maharashtra,70013,2362
2020-06-03,Maharashtra,72300,2465
2020-06-04,Maharashtra,74860,2587
2020-06-05,Maharashtra,77793,2710
