Date,Name of State / UT,Total Confirmed cases,Death
2020-03-24,Manipur,1,0
2020-03-25,Manipur,1,0
2020-03-26,Manipur,1,0
2020-03-27,Manipur,1,0
2020-03-28,Manipur,1,0
2020-03-29,Manipur,1,0
2020-03-30,Manipur,1,0
2020-03-31,Manipur,1,0
2020-04-01,Manipur,1,0
2020-04-02,Manipur,1,0
2020-04-03,Manipur,2,0
2020-04-04,Manipur,2,0
2020-04-05,Manipur,2,0
2020-04-06,Manipur,2,0
2020-04-07,Manipur,2,0
2020-04-08,Manipur,2,0
2020-04-09,Manipur,1,0
2020-04-10,Manipur,2,0
2020-04-11,Manipur,2,0
2020-04-12,Manipur,2,0
2020-04-13,Manipur,2,0
2020-04-14,Manipur,2,0
2020-04-15,Manipur,2,0
2020-04-16,Manipur,2,0
2020-04-17,Manipur,2,0
2020-04-18,Manipur,2,0
2020-04-19,Manipur,2,0
2020-04-20,Manipur,2,0
2020-04-21,Manipur,2,0
2020-04-22,Manipur,2,0
2020-04-23,Manipur,2,0
2020-04-24,Manipur,2,0
2020-04-25,Manipur,2,0
2020-04-26,Manipur,2,0
2020-04-27,Manipur,2,0
2020-04-28,Manipur,2,0
2020-04-29,Manipur,2,0
2020-04-30,Manipur,2,0
2020-05-01,Manipur,2,0
2020-05-02,Manipur,2,0
2020-05-03,Manipur,2,0
2020-05-04,Manipur,2,0
2020-05-05,Manipur,2,0
2020-05-06,Manipur,2,0
2020-05-07,Manipur,2,0
2020-05-08,Manipur,2,0
2020-05-09,Manipur,2,0
2020-05-10,Manipur,2,0
2020-05-11,Manipur,2,0
2020-05-12,Manipur,2,0
2020-05-13,Manipur,2,0
2020-05-14,Manipur,2,0
2020-05-15,Manipur,3,0
2020-05-16,Manipur,3,0
2020-05-17,Manipur,7,0
2020-05-18,Manipur,7,0
2020-05-19,Manipur,7,0
2020-05-20,Manipur,9,0
2020-05-21,Manipur,25,0
2020-05-22,Manipur,25,0
2020-05-23,Manipur,26,0
2020-05-24,Manipur,29,0
2020-05-25,Manipur,32,0
2020-05-26,Manipur,39,0
2020-05-27,Manipur,39,0
2020-05-28,Manipur,44,0
2020-05-29,Manipur,55,0
2020-05-30,Manipur,59,0
2020-05-31,Manipur,62,0
2020-06-01,Manipur,71,0
2020-06-02,Manipur,83,0
2020-06-03,Manipur,89,0
2020-06-04,Manipur,118,0
2020-06-05,Manipur,124,0
