Date,Name of State / UT,Total Confirmed cases,Death
2020-04-14,Meghalaya,1,0
2020-04-15,Meghalaya,1,0
2020-04-16,Meghalaya,7,1
2020-04-17,Meghalaya,9,1
2020-04-18,Meghalaya,9,1
2020-04-19,Meghalaya,11,1
2020-04-20,Meghalaya,11,1
2020-04-21,Meghalaya,11,1
2020-04-22,Meghalaya,12,1
2020-04-23,Meghalaya,12,1
2020-04-24,Meghalaya,12,1
2020-04-25,Meghalaya,12,1
2020-04-26,Meghalaya,12,1
2020-04-27,Meghalaya,12,1
2020-04-28,Meghalaya,12,1
2020-04-29,Meghalaya,12,1
2020-04-30,Meghalaya,12,1
2020-05-01,Meghalaya,12,1
2020-05-02,Meghalaya,12,1
2020-05-03,Meghalaya,12,1
2020-05-04,Meghalaya,12,1
2020-05-05,Meghalaya,12,1
2020-05-06,Meghalaya,12,1
2020-05-07,Meghalaya,12,1
2020-05-08,Meghalaya,12,1
2020-05-09,Meghalaya,12,1
2020-05-10,Meghalaya,13,1
2020-05-11,Meghalaya,13,1
2020-05-12,Meghalaya,13,1
2020-05-13,Meghalaya,13,1
2020-05-14,Meghalaya,13,1
2020-05-15,Meghalaya,13,1
2020-05-16,Meghalaya,13,1
2020-05-17,Meghalaya,13,1
2020-05-18,Meghalaya,13,1
2020-05-19,Meghalaya,13,1
2020-05-20,Meghalaya,13,1
2020-05-21,Meghalaya,14,1
2020-05-22,Meghalaya,14,1
2020-05-23,Meghalaya,14,1
2020-05-24,Meghalaya,14,1
2020-05-25,Meghalaya,14,1
2020-05-26,Meghalaya,14,1
2020-05-27,Meghalaya,15,1
2020-05-28,Meghalaya,20,1
2020-05-29,Meghalaya,21,1
2020-05-30,Meghalaya,27,1
2020-05-31,Meghalaya,27,1
2020-06-01,Meghalaya,27,1
2020-06-02,Meghalaya,27,1
2020-06-03,Meghalaya,27,1
2020-06-04,Meghalaya,33,1
2020-06-05,Meghalaya,33,1
