Date,Name of State / UT,Total Confirmed cases,Death
2020-03-25,Mizoram,1,0
2020-03-26,Mizoram,1,0
2020-03-27,Mizoram,1,0
2020-03-28,Mizoram,1,0
2020-03-29,Mizoram,1,0
2020-03-30,Mizoram,1,0
2020-03-31,Mizoram,1,0
2020-04-01,Mizoram,1,0
2020-04-02,Mizoram,1,0
2020-04-03,Mizoram,1,0
2020-04-04,Mizoram,1,0
2020-04-05,Mizoram,1,0
2020-04-06,Mizoram,1,0
2020-04-07,Mizoram,1,0
2020-04-08,Mizoram,1,0
2020-04-09,Mizoram,1,0
2020-04-10,Mizoram,1,0
2020-04-11,Mizoram,1,0
2020-04-12,Mizoram,1,0
2020-04-13,Mizoram,1,0
2020-04-14,Mizoram,1,0
2020-04-15,Mizoram,1,0
2020-04-16,Mizoram,1,0
2020-04-17,Mizoram,1,0
2020-04-18,Mizoram,1,0
2020-04-19,Mizoram,1,0
2020-04-20,Mizoram,1,0
2020-04-21,Mizoram,1,0
2020-04-22,Mizoram,1,0
2020-04-23,Mizoram,1,0
2020-04-24,Mizoram,1,0
2020-04-25,Mizoram,1,0
2020-04-26,Mizoram,1,0
2020-04-27,Mizoram,1,0
2020-04-28,Mizoram,1,0
2020-04-29,Mizoram,1,0
2020-04-30,Mizoram,1,0
2020-05-01,Mizoram,1,0
2020-05-02,Mizoram,1,0
2020-05-03,Mizoram,1,0
2020-05-04,Mizoram,1,0
2020-05-05,Mizoram,1,0
2020-05-06,Mizoram,1,0
2020-05-07,Mizoram,1,0
2020-05-08,Mizoram,1,0
2020-05-09,Mizoram,1,0
2020-05-10,Mizoram,1,0
2020-05-11,Mizoram,1,0
2020-05-12,Mizoram,1,0
2020-05-13,Mizoram,1,0
2020-05-14,Mizoram,1,0
2020-05-15,Mizoram,1,0
2020-05-16,Mizoram,1,0
2020-05-17,Mizoram,1,0
2020-05-18,Mizoram,1,0
2020-05-19,Mizoram,1,0
2020-05-20,Mizoram,1,0
2020-05-21,Mizoram,1,0
2020-05-22,Mizoram,1,0
2020-05-23,Mizoram,1,0
2020-05-24,Mizoram,1,0
2020-05-25,Mizoram,1,0
2020-05-26,Mizoram,1,0
2020-05-27,Mizoram,1,0
2020-05-28,Mizoram,1,0
2020-05-29,Mizoram,1,0
2020-05-30,Mizoram,1,0
2020-05-31,Mizoram,1,0
2020-06-01,Mizoram,1,0
2020-06-02,Mizoram,1,0
2020-06-03,Mizoram,13,0
2020-06-04,Mizoram,14,0
2020-06-05,Mizoram,17,0
