Date,Name of State / UT,Total Confirmed cases,Death
2020-03-16,Odisha,1,0
2020-03-17,Odisha,1,0
2020-03-18,Odisha,1,0
2020-03-19,Odisha,1,0
2020-03-20,Odisha,1,0
2020-03-21,Odisha,2,0
2020-03-22,Odisha,2,0
2020-03-23,Odisha,2,0
2020-03-24,Odisha,2,0
2020-03-25,Odisha,2,0
2020-03-26,Odisha,2,0
2020-03-27,Odisha,2,0
2020-03-28,Odisha,3,0
2020-03-29,Odisha,3,0
2020-03-30,Odisha,3,0
2020-03-31,Odisha,3,0
2020-04-01,Odisha,4,0
2020-04-02,Odisha,4,0
2020-04-03,Odisha,5,0
2020-04-04,Odisha,5,0
2020-04-05,Odisha,20,0
2020-04-06,Odisha,21,0
2020-04-07,Odisha,21,0
2020-04-08,Odisha,42,1
2020-04-09,Odisha,42,1
2020-04-10,Odisha,44,1
2020-04-11,Odisha,48,1
2020-04-12,Odisha,50,1
2020-04-13,Odisha,54,1
2020-04-14,Odisha,55,1
2020-04-15,Odisha,60,1
2020-04-16,Odisha,60,1
2020-04-17,Odisha,60,1
2020-04-18,Odisha,60,1
2020-04-19,Odisha,61,1
2020-04-20,Odisha,68,1
2020-04-21,Odisha,74,1
2020-04-22,Odisha,79,1
2020-04-23,Odisha,83,1
2020-04-24,Odisha,90,1
2020-04-25,Odisha,94,1
2020-04-26,Odisha,94,1
2020-04-27,Odisha,103,1
2020-04-28,Odisha,118,1
2020-04-29,Odisha,118,1
2020-04-30,Odisha,125,1
2020-05-01,Odisha,142,1
2020-05-02,Odisha,149,1
2020-05-03,Odisha,157,1
2020-05-04,Odisha,162,1
2020-05-05,Odisha,169,1
2020-05-06,Odisha,175,1
2020-05-07,Odisha,185,2
2020-05-08,Odisha,219,2
2020-05-09,Odisha,271,2
2020-05-10,Odisha,294,2
2020-05-11,Odisha,377,3
2020-05-12,Odisha,414,3
2020-05-13,Odisha,437,3
2020-05-14,Odisha,538,3
2020-05-15,Odisha,611,3
2020-05-16,Odisha,672,3
2020-05-17,Odisha,737,3
2020-05-18,Odisha,828,4
2020-05-19,Odisha,876,4
2020-05-20,Odisha,978,5
2020-05-21,Odisha,1052,6
2020-05-22,Odisha,1103,7
2020-05-23,Odisha,1189,7
2020-05-24,Odisha,1269,7
2020-05-25,Odisha,1336,7
2020-05-26,Odisha,1438,7
2020-05-27,Odisha,1517,7
2020-05-28,Odisha,1593,7
2020-05-29,Odisha,1660,7
2020-05-30,Odisha,1723,7
2020-05-31,Odisha,1819,7
2020-06-01,Odisha,1948,7
2020-06-02,Odisha,2104,7
2020-06-03,Odisha,2245,7
2020-06-04,Odisha,2388,7
2020-06-05,Odisha,2478,7
