Date,Name of State / UT,Total Confirmed cases,Death
2020-03-18,Puducherry,1,0
2020-03-19,Puducherry,1,0
2020-03-20,Puducherry,1,0
2020-03-21,Puducherry,1,0
2020-03-22,Puducherry,1,0
2020-03-23,Puducherry,1,0
2020-03-24,Puducherry,1,0
2020-03-25,Puducherry,1,0
2020-03-26,Puducherry,1,0
2020-03-27,Puducherry,1,0
2020-03-28,Puducherry,1,0
2020-03-29,Puducherry,1,0
2020-03-30,Puducherry,1,0
2020-03-31,Puducherry,1,0
2020-04-01,Puducherry,3,0
2020-04-02,Puducherry,3,0
2020-04-03,Puducherry,3,0
2020-04-04,Puducherry,5,0
2020-04-05,Puducherry,5,0
2020-04-06,Puducherry,5,0
2020-04-07,Puducherry,5,0
2020-04-08,Puducherry,5,0
2020-04-09,Puducherry,5,0
2020-04-10,Puducherry,5,0
2020-04-11,Puducherry,5,0
2020-04-12,Puducherry,7,0
2020-04-13,Puducherry,7,0
2020-04-14,Puducherry,7,0
2020-04-15,Puducherry,7,0
2020-04-16,Puducherry,7,0
2020-04-17,Puducherry,7,0
2020-04-18,Puducherry,7,0
2020-04-19,Puducherry,7,0
2020-04-20,Puducherry,7,0
2020-04-21,Puducherry,7,0
2020-04-22,Puducherry,7,0
2020-04-23,Puducherry,7,0
2020-04-24,Puducherry,7,0
2020-04-25,Puducherry,7,0
2020-04-26,Puducherry,7,0
2020-04-27,Puducherry,7,0
2020-04-28,Puducherry,8,0
2020-04-29,Puducherry,8,0
2020-04-30,Puducherry,8,0
2020-05-01,Puducherry,8,0
2020-05-02,Puducherry,8,0
2020-05-03,Puducherry,8,0
2020-05-04,Puducherry,8,0
2020-05-05,Puducherry,8,0
2020-05-06,Puducherry,9,0
2020-05-07,Puducherry,9,0
2020-05-08,Puducherry,9,0
2020-05-09,Puducherry,9,0
2020-05-10,Puducherry,9,0
2020-05-11,Puducherry,9,0
2020-05-12,Puducherry,12,0
2020-05-13,Puducherry,13,1
2020-05-14,Puducherry,13,1
2020-05-15,Puducherry,13,1
2020-05-16,Puducherry,13,1
2020-05-17,Puducherry,13,1
2020-05-18,Puducherry,13,1
2020-05-19,Puducherry,18,1
2020-05-20,Puducherry,18,1
2020-05-21,Puducherry,18,0
2020-05-22,Puducherry,20,0
2020-05-23,Puducherry,26,0
2020-05-24,Puducherry,26,0
2020-05-25,Puducherry,41,0
2020-05-26,Puducherry,41,0
2020-05-27,Puducherry,46,0
2020-05-28,Puducherry,46,0
2020-05-29,Puducherry,51,0
2020-05-30,Puducherry,51,0
2020-05-31,Puducherry,51,0
2020-06-01,Puducherry,70,0
2020-06-02,Puducherry,74,0
2020-06-03,Puducherry,82,0
2020-06-04,Puducherry,82,0
2020-06-05,Puducherry,82,0
