Date,Name of State / UT,Total Confirmed cases,Death
2020-03-04,Rajasthan,1,0
2020-03-05,Rajasthan,1,0
2020-03-06,Rajasthan,1,0
2020-03-07,Rajasthan,1,0
2020-03-08,Rajasthan,1,0
2020-03-09,Rajasthan,1,0
2020-03-10,Rajasthan,1,0
2020-03-11,Rajasthan,3,0
2020-03-12,Rajasthan,3,0
2020-03-13,Rajasthan,3,0
2020-03-14,Rajasthan,3,0
2020-03-15,Rajasthan,4,0
2020-03-16,Rajasthan,4,0
2020-03-17,Rajasthan,4,0
2020-03-18,Rajasthan,4,0
2020-03-19,Rajasthan,7,0
2020-03-20,Rajasthan,7,0
2020-03-21,Rajasthan,17,0
2020-03-22,Rajasthan,24,0
2020-03-23,Rajasthan,28,0
2020-03-24,Rajasthan,32,0
2020-03-25,Rajasthan,36,0
2020-03-26,Rajasthan,41,0
2020-03-27,Rajasthan,41,0
2020-03-28,Rajasthan,54,0
2020-03-29,Rajasthan,54,0
2020-03-30,Rajasthan,57,0
2020-03-31,Rajasthan,74,0
2020-04-01,Rajasthan,93,0
2020-04-02,Rajasthan,108,0
2020-04-03,Rajasthan,133,0
2020-04-04,Rajasthan,179,0
2020-04-05,Rajasthan,200,0
2020-04-06,Rajasthan,253,0
2020-04-07,Rajasthan,288,3
2020-04-08,Rajasthan,328,3
2020-04-09,Rajasthan,381,3
2020-04-10,Rajasthan,463,3
2020-04-11,Rajasthan,553,3
2020-04-12,Rajasthan,700,3
2020-04-13,Rajasthan,804,3
2020-04-14,Rajasthan,879,3
2020-04-15,Rajasthan,969,3
2020-04-16,Rajasthan,1023,3
2020-04-17,Rajasthan,1131,11
2020-04-18,Rajasthan,1229,11
2020-04-19,Rajasthan,1351,11
2020-04-20,Rajasthan,1478,14
2020-04-21,Rajasthan,1576,25
2020-04-22,Rajasthan,1659,25
2020-04-23,Rajasthan,1890,27
2020-04-24,Rajasthan,1964,27
2020-04-25,Rajasthan,2034,27
2020-04-26,Rajasthan,2083,33
2020-04-27,Rajasthan,2185,33
2020-04-28,Rajasthan,2262,46
2020-04-29,Rajasthan,2364,51
2020-04-30,Rajasthan,2438,51
2020-05-01,Rajasthan,2584,58
2020-05-02,Rajasthan,2666,62
2020-05-03,Rajasthan,2770,65
2020-05-04,Rajasthan,2886,71
2020-05-05,Rajasthan,3061,77
2020-05-06,Rajasthan,3158,89
2020-05-07,Rajasthan,3317,92
2020-05-08,Rajasthan,3427,97
2020-05-09,Rajasthan,3579,101
2020-05-10,Rajasthan,3708,106
2020-05-11,Rajasthan,3814,107
2020-05-12,Rajasthan,3988,113
2020-05-13,Rajasthan,4126,117
2020-05-14,Rajasthan,4328,121
2020-05-15,Rajasthan,4534,125
2020-05-16,Rajasthan,4727,125
2020-05-17,Rajasthan,4960,126
2020-05-18,Rajasthan,5202,131
2020-05-19,Rajasthan,5507,138
2020-05-20,Rajasthan,5845,143
2020-05-21,Rajasthan,6015,147
2020-05-22,Rajasthan,6227,151
2020-05-23,Rajasthan,6494,153
2020-05-24,Rajasthan,6742,160
2020-05-25,Rajasthan,7028,163
2020-05-26,Rajasthan,7300,167
2020-05-27,Rajasthan,7536,170
2020-05-28,Rajasthan,7703,173
2020-05-29,Rajasthan,8067,180
2020-05-30,Rajasthan,8365,184
2020-05-31,Rajasthan,8617,193
2020-06-01,Rajasthan,8831,194
2020-06-02,Rajasthan,8980,198
2020-06-03,Rajasthan,9373,203
2020-06-04,Rajasthan,9652,209
2020-06-05,Rajasthan,9862,213
