Date,Name of State / UT,Total Confirmed cases,Death
2020-03-07,Tamil Nadu,1,0
2020-03-08,Tamil Nadu,1,0
2020-03-09,Tamil Nadu,1,0
2020-03-10,Tamil Nadu,1,0
2020-03-11,Tamil Nadu,1,0
2020-03-12,Tamil Nadu,1,0
2020-03-13,Tamil Nadu,1,0
2020-03-14,Tamil Nadu,1,0
2020-03-15,Tamil Nadu,1,0
2020-03-16,Tamil Nadu,1,0
2020-03-17,Tamil Nadu,1,0
2020-03-18,Tamil Nadu,1,0
2020-03-19,Tamil Nadu,2,0
2020-03-20,Tamil Nadu,3,0
2020-03-21,Tamil Nadu,3,0
2020-03-22,Tamil Nadu,7,0
2020-03-23,Tamil Nadu,9,0
2020-03-24,Tamil Nadu,15,0
2020-03-25,Tamil Nadu,18,0
2020-03-26,Tamil Nadu,26,1
2020-03-27,Tamil Nadu,29,1
2020-03-28,Tamil Nadu,40,1
2020-03-29,Tamil Nadu,42,1
2020-03-30,Tamil Nadu,50,1
2020-03-31,Tamil Nadu,74,1
2020-04-01,Tamil Nadu,234,1
2020-04-02,Tamil Nadu,234,1
2020-04-03,Tamil Nadu,309,1
2020-04-04,Tamil Nadu,411,1
2020-04-05,Tamil Nadu,485,3
2020-04-06,Tamil Nadu,571,5
2020-04-07,Tamil Nadu,621,5
2020-04-08,Tamil Nadu,690,7
2020-04-09,Tamil Nadu,738,8
2020-04-10,Tamil Nadu,834,8
2020-04-11,Tamil Nadu,911,8
2020-04-12,Tamil Nadu,969,10
2020-04-13,Tamil Nadu,1043,11
2020-04-14,Tamil Nadu,1173,11
2020-04-15,Tamil Nadu,1204,12
2020-04-16,Tamil Nadu,1242,14
2020-04-17,Tamil Nadu,1267,15
2020-04-18,Tamil Nadu,1323,15
2020-04-19,Tamil Nadu,1372,15
2020-04-20,Tamil Nadu,1477,15
2020-04-21,Tamil Nadu,1520,17
2020-04-22,Tamil Nadu,1596,18
2020-04-23,Tamil Nadu,1629,18
2020-04-24,Tamil Nadu,1683,20
2020-04-25,Tamil Nadu,1755,22
2020-04-26,Tamil Nadu,1821,23
2020-04-27,Tamil Nadu,1885,24
2020-04-28,Tamil Nadu,1937,24
2020-04-29,Tamil Nadu,2058,25
2020-04-30,Tamil Nadu,2162,27
2020-05-01,Tamil Nadu,2323,27
2020-05-02,Tamil Nadu,2526,28
2020-05-03,Tamil Nadu,2757,29
2020-05-04,Tamil Nadu,3023,30
2020-05-05,Tamil Nadu,3550,31
2020-05-06,Tamil Nadu,4058,33
2020-05-07,Tamil Nadu,4829,35
2020-05-08,Tamil Nadu,5409,37
2020-05-09,Tamil Nadu,6009,40
2020-05-10,Tamil Nadu,6535,44
2020-05-11,Tamil Nadu,7204,47
2020-05-12,Tamil Nadu,8002,53
2020-05-13,Tamil Nadu,8718,61
2020-05-14,Tamil Nadu,9227,64
2020-05-15,Tamil Nadu,9674,66
2020-05-16,Tamil Nadu,10108,71
2020-05-17,Tamil Nadu,10585,74
2020-05-18,Tamil Nadu,11224,78
2020-05-19,Tamil Nadu,11760,81
2020-05-20,Tamil Nadu,12448,84
2020-05-21,Tamil Nadu,13191,87
2020-05-22,Tamil Nadu,13967,94
2020-05-23,Tamil Nadu,14753,98
2020-05-24,Tamil Nadu,15512,103
2020-05-25,Tamil Nadu,16277,111
2020-05-26,Tamil Nadu,17082,118
2020-05-27,Tamil Nadu,17728,127
2020-05-28,Tamil Nadu,18545,133
2020-05-29,Tamil Nadu,19372,145
2020-05-30,Tamil Nadu,20246,154
2020-05-31,Tamil Nadu,21184,160
2020-06-01,Tamil Nadu,22333,173
2020-06-02,Tamil Nadu,23495,184
2020-06-03,Tamil Nadu,24586,197
2020-06-04,Tamil Nadu,25872,208
2020-06-05,Tamil Nadu,27256,220
