Date,Name of State / UT,Total Confirmed cases,Death
2020-03-07,Union Territory of Ladakh,2,0
2020-03-08,Union Territory of Ladakh,2,0
2020-03-09,Union Territory of Ladakh,2,0
2020-03-10,Union Territory of Ladakh,2,0
2020-03-11,Union Territory of Ladakh,2,0
2020-03-12,Union Territory of Ladakh,3,0
2020-03-13,Union Territory of Ladakh,3,0
2020-03-14,Union Territory of Ladakh,3,0
2020-03-15,Union Territory of Ladakh,3,0
2020-03-16,Union Territory of Ladakh,4,0
2020-03-17,Union Territory of Ladakh,6,0
2020-03-18,Union Territory of Ladakh,8,0
2020-03-19,Union Territory of Ladakh,8,0
2020-03-20,Union Territory of Ladakh,10,0
