Date,Name of State / UT,Total Confirmed cases,Death
2020-03-04,Uttar Pradesh,6,0
2020-03-05,Uttar Pradesh,7,0
2020-03-06,Uttar Pradesh,7,0
2020-03-07,Uttar Pradesh,7,0
2020-03-08,Uttar Pradesh,7,0
2020-03-09,Uttar Pradesh,7,0
2020-03-10,Uttar Pradesh,7,0
2020-03-11,Uttar Pradesh,9,0
2020-03-12,Uttar Pradesh,11,0
2020-03-13,Uttar Pradesh,11,0
2020-03-14,Uttar Pradesh,12,0
2020-03-15,Uttar Pradesh,13,0
2020-03-16,Uttar Pradesh,13,0
2020-03-17,Uttar Pradesh,15,0
2020-03-18,Uttar Pradesh,16,0
2020-03-19,Uttar Pradesh,19,0
2020-03-20,Uttar Pradesh,19,0
2020-03-21,Uttar Pradesh,24,0
2020-03-22,Uttar Pradesh,27,0
2020-03-23,Uttar Pradesh,31,0
2020-03-24,Uttar Pradesh,33,0
2020-03-25,Uttar Pradesh,37,0
2020-03-26,Uttar Pradesh,41,0
2020-03-27,Uttar Pradesh,41,0
2020-03-28,Uttar Pradesh,55,0
2020-03-29,Uttar Pradesh,55,0
2020-03-30,Uttar Pradesh,75,0
2020-03-31,Uttar Pradesh,101,0
2020-04-01,Uttar Pradesh,103,2
2020-04-02,Uttar Pradesh,113,2
2020-04-03,Uttar Pradesh,113,2
2020-04-04,Uttar Pradesh,174,2
2020-04-05,Uttar Pradesh,227,2
2020-04-06,Uttar Pradesh,227,2
2020-04-07,Uttar Pradesh,305,3
2020-04-08,Uttar Pradesh,326,3
2020-04-09,Uttar Pradesh,361,4
2020-04-10,Uttar Pradesh,410,4
2020-04-11,Uttar Pradesh,431,4
2020-04-12,Uttar Pradesh,452,5
2020-04-13,Uttar Pradesh,483,5
2020-04-14,Uttar Pradesh,657,5
2020-04-15,Uttar Pradesh,660,5
2020-04-16,Uttar Pradesh,735,11
2020-04-17,Uttar Pradesh,846,14
2020-04-18,Uttar Pradesh,849,14
2020-04-19,Uttar Pradesh,969,14
2020-04-20,Uttar Pradesh,1084,17
2020-04-21,Uttar Pradesh,1184,18
2020-04-22,Uttar Pradesh,1294,20
2020-04-23,Uttar Pradesh,1449,21
2020-04-24,Uttar Pradesh,1510,24
2020-04-25,Uttar Pradesh,1621,25
2020-04-26,Uttar Pradesh,1843,29
2020-04-27,Uttar Pradesh,1868,29
2020-04-28,Uttar Pradesh,1955,31
2020-04-29,Uttar Pradesh,2053,34
2020-04-30,Uttar Pradesh,2134,39
2020-05-01,Uttar Pradesh,2203,39
2020-05-02,Uttar Pradesh,2328,42
2020-05-03,Uttar Pradesh,2487,43
2020-05-04,Uttar Pradesh,2645,43
2020-05-05,Uttar Pradesh,2766,50
2020-05-06,Uttar Pradesh,2880,56
2020-05-07,Uttar Pradesh,2998,60
2020-05-08,Uttar Pradesh,3071,62
2020-05-09,Uttar Pradesh,3214,66
2020-05-10,Uttar Pradesh,3373,74
2020-05-11,Uttar Pradesh,3467,74
2020-05-12,Uttar Pradesh,3573,80
2020-05-13,Uttar Pradesh,3664,82
2020-05-14,Uttar Pradesh,3729,83
2020-05-15,Uttar Pradesh,3902,88
2020-05-16,Uttar Pradesh,4057,95
2020-05-17,Uttar Pradesh,4258,104
2020-05-18,Uttar Pradesh,4259,104
2020-05-19,Uttar Pradesh,4605,118
2020-05-20,Uttar Pradesh,4926,123
2020-05-21,Uttar Pradesh,5175,127
2020-05-22,Uttar Pradesh,5515,138
2020-05-23,Uttar Pradesh,5735,152
2020-05-24,Uttar Pradesh,6017,155
2020-05-25,Uttar Pradesh,6268,161
2020-05-26,Uttar Pradesh,6532,165
2020-05-27,Uttar Pradesh,6548,170
2020-05-28,Uttar Pradesh,6991,182
2020-05-29,Uttar Pradesh,7170,197
2020-05-30,Uttar Pradesh,7284,198
2020-05-31,Uttar Pradesh,7445,201
2020-06-01,Uttar Pradesh,7823,213
2020-06-02,Uttar Pradesh,8075,217
2020-06-03,Uttar Pradesh,8361,222
2020-06-04,Uttar Pradesh,8729,229
2020-06-05,Uttar Pradesh,9237,245
