Date,Name of State / UT,Total Confirmed cases,Death
2020-03-18,West Bengal,1,0
2020-03-19,West Bengal,1,0
2020-03-20,West Bengal,1,0
2020-03-21,West Bengal,3,0
2020-03-22,West Bengal,4,0
2020-03-23,West Bengal,7,1
2020-03-24,West Bengal,9,1
2020-03-25,West Bengal,9,1
2020-03-26,West Bengal,10,1
2020-03-27,West Bengal,10,1
2020-03-28,West Bengal,15,1
2020-03-29,West Bengal,18,1
2020-03-30,West Bengal,19,1
2020-03-31,West Bengal,26,2
2020-04-03,West Bengal,53,3
2020-04-04,West Bengal,69,3
2020-04-05,West Bengal,69,3
2020-04-06,West Bengal,80,3
2020-04-07,West Bengal,91,3
2020-04-08,West Bengal,99,5
2020-04-09,West Bengal,103,5
2020-04-10,West Bengal,116,5
2020-04-11,West Bengal,116,5
2020-04-12,West Bengal,134,5
2020-04-13,West Bengal,152,7
2020-04-14,West Bengal,190,7
2020-04-15,West Bengal,213,7
2020-04-16,West Bengal,231,7
2020-04-17,West Bengal,255,10
2020-04-18,West Bengal,287,10
2020-04-19,West Bengal,310,12
2020-04-20,West Bengal,339,12
2020-04-21,West Bengal,392,12
2020-04-22,West Bengal,423,15
2020-04-23,West Bengal,456,15
2020-04-24,West Bengal,514,15
2020-04-25,West Bengal,571,18
2020-04-26,West Bengal,611,18
2020-04-27,West Bengal,649,20
2020-04-28,West Bengal,697,20
2020-04-29,West Bengal,725,22
2020-04-30,West Bengal,758,22
2020-05-01,West Bengal,795,33
2020-05-02,West Bengal,795,33
2020-05-03,West Bengal,922,33
2020-05-04,West Bengal,963,35
2020-05-05,West Bengal,1259,133
2020-05-06,West Bengal,1344,140
2020-05-07,West Bengal,1456,144
2020-05-08,West Bengal,1548,151
2020-05-09,West Bengal,1678,160
2020-05-10,West Bengal,1786,171
2020-05-11,West Bengal,1939,185
2020-05-12,West Bengal,2063,190
2020-05-13,West Bengal,2173,198
2020-05-14,West Bengal,2290,207
2020-05-15,West Bengal,2377,215
2020-05-16,West Bengal,2461,225
2020-05-17,West Bengal,2576,232
2020-05-18,West Bengal,2677,238
2020-05-19,West Bengal,2825,244
2020-05-20,West Bengal,2961,250
2020-05-21,West Bengal,3103,253
2020-05-22,West Bengal,3197,259
2020-05-23,West Bengal,3332,265
2020-05-24,West Bengal,3459,269
2020-05-25,West Bengal,3667,272
2020-05-26,West Bengal,3816,278
2020-05-27,West Bengal,4009,283
2020-05-28,West Bengal,4192,289
2020-05-29,West Bengal,4536,295
2020-05-30,West Bengal,4813,302
2020-05-31,West Bengal,5130,309
2020-06-01,West Bengal,5501,317
2020-06-02,West Bengal,5772,325
2020-06-03,West Bengal,6168,335
2020-06-04,West Bengal,6508,345
2020-06-05,West Bengal,6876,355
